variant,delay_months,year,demand_total_t,demand_critical_t,served_total_t,served_critical_t,service_level_total,service_level_critical,shortage_total_t,shortage_critical_t,opening_t,closing_t,planned_inflow_t,throughput_t,losses_t,loss_ratio,reserve_required_t,reserve_ok,average_stock_t,storage_mode_end,storage_capacity_end_t,emergency_share_of_demand,balance_residual_t
guarded_calendar,0,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
guarded_calendar,0,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,30.894779400000075,203.18820000000002,203.18820000000002,5.7183286,0.028143015194780012,23.424657534246574,True,24.729217225000074,ZBO,120.0,0.0,1.4210854715202004e-14
guarded_calendar,0,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,30.894779400000075,39.52492260000015,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,True,35.209851000000114,ZBO,120.0,0.0,-7.105427357601002e-14
guarded_calendar,0,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,39.52492260000015,48.1550634000002,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,True,43.839993000000185,ZBO,120.0,0.0,-7.105427357601002e-14
guarded_calendar,0,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,48.1550634000002,48.155120600000316,394.7369,394.7369,4.7368428,0.012,48.082191780821915,True,48.15509200000025,ZBO,120.0,0.0,-1.1368683772161603e-13
without_measure,3,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
without_measure,3,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
without_measure,3,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,27.67356155000006,199.89115,199.89115,5.642496449999999,0.02822784525477991,23.424657534246574,True,23.530327418750073,ZBO,120.0,0.0,1.4210854715202004e-14
without_measure,3,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,27.67356155000006,36.303704750000136,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,False,31.988633150000098,ZBO,120.0,0.0,-7.105427357601002e-14
without_measure,3,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,36.303704750000136,44.933845550000186,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,False,40.61877515000016,ZBO,120.0,0.0,-7.105427357601002e-14
without_measure,3,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,44.933845550000186,44.9339027500003,394.7369,394.7369,4.7368428,0.012,48.082191780821915,False,44.933874150000236,ZBO,120.0,0.0,-1.1368683772161603e-13
physical_stock,3,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
physical_stock,3,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
physical_stock,3,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,30.874088750000055,203.13055000000003,203.13055000000003,5.68136925,0.02796905364554962,23.424657534246574,True,24.330459218750068,ZBO,120.0,0.0,5.684341886080802e-14
physical_stock,3,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,30.874088750000055,39.50423195000013,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,True,35.189160350000094,ZBO,120.0,0.0,-5.684341886080802e-14
physical_stock,3,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,39.50423195000013,48.13437275000018,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,True,43.81930235000016,ZBO,120.0,0.0,-5.684341886080802e-14
physical_stock,3,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,48.13437275000018,48.13442995000031,394.7369,394.7369,4.7368428,0.012,48.082191780821915,True,48.134401350000246,ZBO,120.0,0.0,-1.1368683772161603e-13
guarded_calendar,3,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
guarded_calendar,3,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
guarded_calendar,3,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,30.894779400000075,203.18820000000002,203.18820000000002,5.7183286,0.028143015194780012,23.424657534246574,True,24.729217225000074,ZBO,120.0,0.0,1.4210854715202004e-14
guarded_calendar,3,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,30.894779400000075,39.52492260000015,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,True,35.209851000000114,ZBO,120.0,0.0,-7.105427357601002e-14
