variant,demand_direction,isru_direction,pass_radius,fail_radius,demand_fail,isru_reduction_fail,first_rule,first_year,first_month,actual,limit,excess
reservation_full,0.75,1.0,6.962336556171067e-07,6.962345651118085e-07,5.221759238338564e-07,6.962345651118085e-07,RESERVE_45D,2040,1,55.29454842111842,55.29454942141255,1.0002941266407106e-06
reservation_full,0.5,1.0,9.443392627872527e-07,9.443401722819544e-07,4.721700861409772e-07,9.443401722819544e-07,RESERVE_45D,2040,1,55.29454565633543,55.294546656363735,1.0000283054978354e-06
reservation_full,0.25,1.0,1.4671732060378417e-06,1.4671741155325435e-06,3.667935288831359e-07,1.4671741155325435e-06,RESERVE_45D,2040,1,55.29453982947794,55.294540829617524,1.0001395835956828e-06
reservation_full,0.0,1.0,3.287044819444418e-06,3.2870457289391197e-06,0.0,3.2870457289391197e-06,RESERVE_45D,2040,1,55.294519547828955,55.2945205479452,1.000116242266813e-06
zbo_1month_earlier,1.0,0.0,0.000805191107247083,0.0008051911081565777,0.0008051911081565777,0.0,RESERVE_45D,2040,1,55.3390422036036,55.33904320422019,1.0006165922504806e-06
zbo_1month_earlier,1.0,0.25,0.000766565936828556,0.0007665659377380507,0.0007665659377380507,0.00019164148443451268,RESERVE_45D,2040,1,55.336906443752724,55.33690744394082,1.0001880923482531e-06
zbo_1month_earlier,1.0,0.5,0.0007314768536161864,0.0007314768545256811,0.0007314768545256811,0.00036573842726284056,RESERVE_45D,2040,1,55.33496620976871,55.33496720990812,1.0001394130654262e-06
zbo_1month_earlier,1.0,0.75,0.0006994595250944258,0.0006994595260039205,0.0006994595260039205,0.0005245946445029404,RESERVE_45D,2040,1,55.33319582693325,55.33319682707828,1.000145033458466e-06
zbo_1month_earlier,1.0,1.0,0.0006701275069644907,0.0006701275078739855,0.0006701275078739855,0.0006701275078739855,RESERVE_45D,2040,1,55.33157392681066,55.331574927199085,1.0003884227671733e-06
zbo_1month_earlier,0.75,1.0,0.0008461897568849963,0.000846189757794491,0.0006346423183458683,0.000846189757794491,RESERVE_45D,2040,1,55.32961179062299,55.32961279065757,1.0000345795901922e-06
zbo_1month_earlier,0.5,1.0,0.0011477330672278185,0.0011477330681373132,0.0005738665340686566,0.0011477330681373132,RESERVE_45D,2040,1,55.326251222576715,55.32625222280504,1.0002283232779519e-06
zbo_1month_earlier,0.25,1.0,0.0017831750674304203,0.001783175068339915,0.00044579376708497875,0.001783175068339915,RESERVE_45D,2040,1,55.319169500385584,55.31917050055942,1.0001738388609738e-06
zbo_1month_earlier,0.0,1.0,0.003995012055383995,0.00399501205629349,0.0,0.00399501205629349,RESERVE_45D,2040,1,55.294519547815355,55.2945205479452,1.0001298420547755e-06
early_zbo,1.0,0.0,0.01193355773921212,0.011933557740121614,0.011933557740121614,0.0,RESERVE_45D,2040,1,55.95437990135039,55.95438090161644,1.0002660459917934e-06
early_zbo,1.0,0.25,0.011361102716364258,0.011361102717273752,0.011361102717273752,0.002840275679318438,RESERVE_45D,2040,1,55.92272627500802,55.92272727559282,1.0005848025684827e-06
early_zbo,1.0,0.5,0.010841055243872688,0.010841055244782183,0.010841055244782183,0.005420527622391091,RESERVE_45D,2040,1,55.89397049986168,55.89397149993923,1.0000775461094236e-06
early_zbo,1.0,0.75,0.010366533561864344,0.010366533562773839,0.010366533562773839,0.007774900172080379,RESERVE_45D,2040,1,55.86773205094981,55.86773305104297,1.0000931567333282e-06
early_zbo,1.0,1.0,0.009931810262060026,0.00993181026296952,0.00993181026296952,0.00993181026296952,RESERVE_45D,2040,1,55.84369423435055,55.843695234609264,1.0002587131907603e-06
early_zbo,0.75,1.0,0.0125411895896832,0.012541189590592694,0.00940589219294452,0.012541189590592694,RESERVE_45D,2040,1,55.81461384677674,55.81461484707973,1.0003029942140529e-06
early_zbo,0.5,1.0,0.017010295703585143,0.017010295704494638,0.008505147852247319,0.017010295704494638,RESERVE_45D,2040,1,55.76480762022622,55.764808620624606,1.0003983845763287e-06
early_zbo,0.25,1.0,0.026428039801430714,0.02642803980234021,0.006607009950585052,0.02642803980234021,RESERVE_45D,2040,1,55.659850995308204,55.65985199541831,1.000110103177576e-06
