section,metric,year,a,b,delta,label_a,label_b
finance,"Total, mln",2036,2282.441285,2282.441285,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"PV total, mln",2036,2113.371560,2113.371560,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Procurement, mln",2037,1295.374980,1337.729190,42.354210,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Reservation, mln",2037,87.478350,88.192200,0.713850,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Holding, mln",2037,18.925506,20.575750,1.650244,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Fixed OPEX, mln",2037,6.000000,6.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"CAPEX, mln",2037,180.000000,180.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Total, mln",2037,1587.778836,1632.497140,44.718304,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"PV total, mln",2037,1361.264434,1399.603172,38.338738,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Procurement, mln",2038,1553.728350,2395.913850,842.185500,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Reservation, mln",2038,72.797400,93.905700,21.108300,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Holding, mln",2038,2.968616,25.833283,22.864667,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Fixed OPEX, mln",2038,82.000000,82.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"CAPEX, mln",2038,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Total, mln",2038,1711.494366,2597.652833,886.158467,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"PV total, mln",2038,1358.639408,2062.100569,703.461162,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Procurement, mln",2039,2084.165300,2972.978262,888.812962,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Reservation, mln",2039,88.893300,100.877250,11.983950,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Holding, mln",2039,0.000000,36.239493,36.239493,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Fixed OPEX, mln",2039,82.000000,82.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"CAPEX, mln",2039,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Total, mln",2039,2255.058600,3192.095006,937.036406,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"PV total, mln",2039,1657.535391,2346.285122,688.749732,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Procurement, mln",2040,2292.158410,2517.000000,224.841590,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Reservation, mln",2040,98.210550,102.000000,3.789450,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Holding, mln",2040,0.000000,27.737993,27.737993,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Fixed OPEX, mln",2040,82.000000,82.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"CAPEX, mln",2040,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Total, mln",2040,2472.368960,2728.737993,256.369033,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"PV total, mln",2040,1682.652771,1857.133227,174.480456,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:order,ordered_t A,2038,161.771400,190.000000,28.228600,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:order,ordered_t B,2037,13.188200,17.947100,4.758900,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:order,ordered_t B,2038,0,56.037200,56.037200,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:order,ordered_t B,2039,22.621600,102.514900,79.893300,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:order,ordered_t B,2040,84.736900,110.000000,25.263100,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:reservation,reserved_t A,2038,161.772000,190.000000,28.228000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:reservation,reserved_t B,2037,13.189000,17.948000,4.759000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:reservation,reserved_t B,2038,0,56.038000,56.038000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:reservation,reserved_t B,2039,22.622000,102.515000,79.893000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
decision:reservation,reserved_t B,2040,84.737000,110.000000,25.263000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
violation,BASE_TOTAL_SERVICE,2038,yes,,,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
violation,BASE_TOTAL_SERVICE,2039,yes,,,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
violation,BASE_TOTAL_SERVICE,2040,yes,,,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
violation,RESERVE_45D,2038,yes,,,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
violation,RESERVE_45D,2039,yes,,,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
violation,RESERVE_45D,2040,yes,,,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
