scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,4,BASE,70.000000,0.045000,15.041197,10.203450,10.203450,0.459155,24.785492,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,15.452159,0.914801,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,5,BASE,70.000000,0.045000,15.452159,10.203450,10.203450,0.459155,25.196453,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,15.863120,0.939458,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,6,BASE,70.000000,0.045000,15.863120,10.203450,10.203450,0.459155,25.607415,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,16.274082,0.964116,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,7,BASE,70.000000,0.045000,16.274082,10.203450,10.203450,0.459155,26.018376,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,16.685043,0.988774,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,8,BASE,70.000000,0.045000,16.685043,10.203450,10.203450,0.459155,26.429338,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,17.096004,1.013431,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,9,BASE,70.000000,0.045000,17.096004,10.203450,10.203450,0.459155,26.840299,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,17.506966,1.038089,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,10,BASE,70.000000,0.045000,17.506966,10.203450,10.203450,0.459155,27.251261,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,17.917927,1.062747,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,11,BASE,70.000000,0.045000,17.917927,10.203450,10.203450,0.459155,27.662222,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,18.328889,1.087404,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,12,BASE,70.000000,0.045000,18.328889,10.203450,10.203450,0.459155,28.073183,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,18.739850,1.112062,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,1,BASE,70.000000,0.045000,18.739850,13.545875,13.545875,0.609564,31.676161,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,19.009494,1.132480,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,2,BASE,70.000000,0.045000,19.009494,13.545875,13.545875,0.609564,31.945805,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,19.279138,1.148659,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,3,BASE,70.000000,0.045000,19.279138,13.545875,13.545875,0.609564,32.215449,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,19.548782,1.164838,13.545875
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2037,4,BASE,70.000000,0.045000,19.548782,13.545875,13.545875,0.609564,32.485093,12.666667,9.000000,12.666667,9.000000,0.000000,0.000000,19.818426,1.181016,13.545875
