scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_HIGH_DEMAND,P4_full,2035,11,BASE,70.000000,0.045000,8.105176,9.156333,9.156333,0.412035,16.849474,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,7.682807,0.473639,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,12,BASE,70.000000,0.045000,7.682807,9.156333,9.156333,0.412035,16.427106,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,7.260439,0.448297,9.156333
TEAM_HIGH_DEMAND,P4_full,2036,1,BASE,70.000000,0.045000,7.260439,12.754317,12.754317,0.573944,19.440811,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,6.607478,0.416038,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,2,BASE,70.000000,0.045000,6.607478,12.754317,12.754317,0.573944,18.787851,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,5.954517,0.376860,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,3,BASE,70.000000,0.045000,5.954517,12.754317,12.754317,0.573944,18.134890,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,5.301556,0.337682,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,4,BASE,70.000000,0.045000,5.301556,12.754317,12.754317,0.573944,17.481929,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,4.648595,0.298505,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,5,BASE,70.000000,0.045000,4.648595,12.754317,12.754317,0.573944,16.828968,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,3.995634,0.259327,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,6,BASE,70.000000,0.045000,3.995634,12.754317,12.754317,0.573944,16.176007,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,3.342674,0.220149,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,7,BASE,70.000000,0.045000,3.342674,12.754317,12.754317,0.573944,15.523046,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,2.689713,0.180972,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,8,BASE,70.000000,0.045000,2.689713,12.754317,12.754317,0.573944,14.870085,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,2.036752,0.141794,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,9,BASE,70.000000,0.045000,2.036752,12.754317,12.754317,0.573944,14.217124,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,1.383791,0.102616,12.754317
TEAM_HIGH_DEMAND,P4_full,2036,10,BASE,70.000000,0.045000,1.383791,12.754317,12.754317,0.573944,13.564163,12.833333,9.625000,12.833333,9.625000,0.000000,0.000000,0.730830,0.063439,12.754317
