section,metric,year,a,b,delta,label_a,label_b
decision:reservation,reserved_t B,2039,22.622000,102.516000,79.894000,без изменений/STRESS,реактивный/STRESS
decision:reservation,reserved_t B,2040,84.737000,110.000000,25.263000,без изменений/STRESS,реактивный/STRESS
decision:reservation,reserved_t E,2038,0,80.000000,80.000000,без изменений/STRESS,реактивный/STRESS
decision:reservation,reserved_t E,2040,0,33.948000,33.948000,без изменений/STRESS,реактивный/STRESS
violation,BASE_TOTAL_SERVICE,2038,yes,,,без изменений/STRESS,реактивный/STRESS
violation,BASE_TOTAL_SERVICE,2039,yes,,,без изменений/STRESS,реактивный/STRESS
violation,BASE_TOTAL_SERVICE,2040,yes,,,без изменений/STRESS,реактивный/STRESS
violation,RESERVE_45D,2038,yes,yes,,без изменений/STRESS,реактивный/STRESS
violation,RESERVE_45D,2039,yes,,,без изменений/STRESS,реактивный/STRESS
violation,RESERVE_45D,2040,yes,,,без изменений/STRESS,реактивный/STRESS
