section,metric,year,a,b,delta,label_a,label_b
yearly,Потери / поступление,2038,0.012000,0.012000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на начало, т",2038,30.822244,35.445516,4.623271,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на конец, т",2038,45.379036,45.370269,-0.008766,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"45-дневный резерв, т",2038,35.445205,35.445205,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Спрос, т",2039,368.000000,368.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Обслужено, т",2039,368.000000,368.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса общий,2039,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса критический,2039,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Дефицит, т",2039,0.000000,0.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Поступление (факт), т",2039,382.514800,382.514900,0.000100,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Потери, т",2039,4.590178,4.590179,0.000001,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Потери / поступление,2039,0.012000,0.012000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на начало, т",2039,45.379036,45.370269,-0.008766,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на конец, т",2039,55.303658,55.294990,-0.008668,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"45-дневный резерв, т",2039,45.369863,45.369863,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Спрос, т",2040,448.500000,448.500000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Обслужено, т",2040,448.500000,448.500000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса общий,2040,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Уровень сервиса критический,2040,1.000000,1.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Дефицит, т",2040,0.000000,0.000000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Поступление (факт), т",2040,453.946000,420.000000,-33.946000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Потери, т",2040,5.447352,5.040000,-0.407352,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,Потери / поступление,2040,0.012000,0.012000,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на начало, т",2040,55.303658,55.294990,-0.008668,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"Запас на конец, т",2040,55.302306,21.754990,-33.547316,реактивный/STRESS,заблаговременно адаптированный/STRESS
yearly,"45-дневный резерв, т",2040,55.294521,55.294521,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
finance,"Закупка, млн",2035,796.128420,796.128420,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
finance,"Резервирование, млн",2035,51.380670,51.380670,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
finance,"Хранение, млн",2035,10.652147,10.652147,0.000000,реактивный/STRESS,заблаговременно адаптированный/STRESS
